"","State","County","fips","7_day_average_case_growth"
"1531","Illinois","Tazewell","17179",4.70286903710187
"1532","Indiana","Fountain","18045",2.40044942708266
"1533","Indiana","Marshall","18099",0.664683080669809
"1534","Indiana","Orange","18117",0.689084004844857
"1535","Indiana","Posey","18129",1.42411683649439
"1536","Indiana","Warren","18171",2.07482993197279
"1537","Iowa","Appanoose","19007",2.71219373449528
"1538","Iowa","Clayton","19043",1.30395492857716
"1539","Iowa","Des Moines","19057",2.79698611646326
"1540","Iowa","Mahaska","19123",0.420157441959158
"1541","Iowa","Monona","19133",0.158730158730159
"1542","Iowa","Page","19145",4.17452713897014
"1543","Kansas","Jefferson","20087",4.14259408112832
"1544","Kansas","Sumner","20191",0.29304799975955
"1545","Kentucky","Boone","21015",1.24763961177116
"1546","Kentucky","Hopkins","21107",0.627564678816764
"1547","Kentucky","Mason","21161",0.269541778975741
"1548","Kentucky","Mercer","21167",1.68636983787016
"1549","Kentucky","Union","21225",2.44193478148081
"1550","Kentucky","Webster","21233",1.88926315410754
"1551","Louisiana","East Feliciana","22037",2.121259771132
"1552","Louisiana","LaSalle","22059",3.75595301045729
"1553","Louisiana","Madison","22065",1.44588998491443
"1554","Louisiana","Pointe Coupee","22077",1.43759074354609
"1555","Louisiana","Vermilion","22113",3.26852579194832
"1556","Maine","Franklin","23007",0
"1557","Michigan","Gogebic","26053",4.46457044560052
"1558","Michigan","Ionia","26067",0.41943239038531
"1559","Michigan","Mecosta","26107",2.82667231777638
"1560","Michigan","Missaukee","26113",0.357142857142857
"1561","Michigan","Oceana","26127",0.397701442238737
"1562","Michigan","Ogemaw","26129",0.829765868611596
"1563","Michigan","Shiawassee","26155",0.649019413122581
"1564","Minnesota","Kandiyohi","27067",0.465178075460786
"1565","Minnesota","Sibley","27143",1.08086965152638
"1566","Minnesota","Wilkin","27167",3.39987127141505
"1567","Mississippi","Benton","28009",2.09219753139821
"1568","Mississippi","Lauderdale","28075",0.907072302770384
"1569","Mississippi","Quitman","28119",2.53922408724587
"1570","Mississippi","Yalobusha","28161",0.0567659110887995
"1571","Missouri","Benton","29015",3.5172200310617
"1572","Missouri","Bollinger","29017",1.9437312452554
"1573","Missouri","Carter","29035",0.861081274615109
"1574","Missouri","Stoddard","29207",1.13819273397804
"1575","Montana","Lincoln","30053",1.39533055939176
"1576","Montana","Meagher","30059",0
"1577","Montana","Toole","30101",5.57347670250896
"1578","Nebraska","Hall","31079",0.263610617838537
"1579","Nebraska","Kearney","31099",8.81518174918037
"1580","North Carolina","Beaufort","37013",1.92184584301005
"1581","North Dakota","McHenry","38049",1.97278911564626
"1582","North Dakota","McIntosh","38051",7.08662682346893
"1583","Ohio","Athens","39009",0.575735170833552
"1584","Ohio","Jefferson","39081",1.42173190496879
"1585","Ohio","Muskingum","39119",3.68998822592964
"1586","Ohio","Wyandot","39175",2.88306336619155
"1587","Oklahoma","Comanche","40031",0.751884232323767
"1588","Oklahoma","Craig","40035",1.90323791137534
"1589","Oklahoma","Lincoln","40081",4.06250230508562
"1590","Oklahoma","Okmulgee","40111",2.45164003867362
"1591","Oklahoma","Ottawa","40115",1.2688855156722
"1592","Oklahoma","Sequoyah","40135",4.07252701629063
"1593","Oregon","Tillamook","41057",5.24659863945578
"1594","Oregon","Wasco","41065",2.60792596556917
"1595","Pennsylvania","Blair","42013",3.60344356583305
"1596","Pennsylvania","Crawford","42039",1.62542119432907
"1597","Pennsylvania","Indiana","42063",2.4163695299947
"1598","Pennsylvania","Susquehanna","42115",0.338861647597878
"1599","Tennessee","Benton","47005",7.27963737797147
"1600","Tennessee","Cannon","47015",3.18207574654448
"1601","Tennessee","Macon","47111",0.407210422938414
"1602","Tennessee","Meigs","47121",1.15632007807195
"1603","Tennessee","Unicoi","47171",2.45844963642038
"1604","Texas","Angelina","48005",1.59644863061419
"1605","Texas","Calhoun","48057",2.6889199135775
"1606","Texas","Jackson","48239",3.52760460870435
"1607","Texas","Karnes","48255",12.1049627856956
"1608","Texas","Martin","48317",2.9657571259294
"1609","Texas","Nacogdoches","48347",1.65331173342161
"1610","Texas","Rockwall","48397",3.2570262929991
"1611","Texas","Val Verde","48465",1.69194543127059
"1612","Utah","Morgan","49029",0.981912144702842
"1613","Virginia","Amelia","51007",1.14352423550075
"1614","Virginia","Fauquier","51061",1.01925745472437
"1615","Virginia","Greene","51079",1.70664224811733
"1616","Virginia","Hampton city","51650",2.63582149413135
"1617","Virginia","King George","51099",1.90373709172862
"1618","Virginia","Lynchburg city","51680",4.32364909814101
"1619","Virginia","Northampton","51131",0.194864373159792
"1620","Virginia","Pittsylvania","51143",3.72453197334135
"1621","Virginia","Poquoson city","51735",2.61078352541767
"1622","Virginia","Prince George","51149",1.96454412274437
"1623","Virginia","Radford city","51750",10.77415231827
"1624","Virginia","Southampton","51175",1.61910814841301
"1625","Virginia","Warren","51187",0.285261736313546
"1626","Virginia","Washington","51191",3.39451080535554
"1627","West Virginia","Mason","54053",2.33870236246379
"1628","West Virginia","Upshur","54097",0.37593984962406
"1629","Wisconsin","Clark","55019",0.808206000069147
"1630","Wisconsin","Portage","55097",2.36706136796088
"1631","Wisconsin","Vilas","55125",8.77795450163871
"1632","Wyoming","Hot Springs","56017",2.18045112781955
"1633","Wyoming","Johnson","56019",0.649350649350649
"1634","Alabama","Covington","01039",1.51287015566571
"1635","Alabama","Escambia","01053",2.21319701806866
"1636","Alabama","Greene","01063",0.637719316233224
"1637","Alabama","Randolph","01111",0.462810524620406
"1638","Alabama","Winston","01133",0.88989660537329
"1639","Arkansas","Baxter","05005",2.45013662007235
"1640","California","Colusa","06011",1.66376755948055
"1641","California","Kings","06031",0.238095238095238
"1642","Colorado","Alamosa","08003",0.190762145566191
